Index,Ingredient,Category
1,마늘,채소
2,소금,조미료 및 향신료
3,설탕,조미료 및 향신료
4,양파,채소
5,간장,조미료 및 향신료
6,물,기타
7,참기름,조미료 및 향신료
8,계란,육류
9,대파,채소
10,고춧가루,조미료 및 향신료
11,후추,조미료 및 향신료
12,깨,콩류 및 견과류
13,청양고추,채소
14,당근,채소
15,식용유,조미료 및 향신료
16,고추장,조미료 및 향신료
17,맛술,조미료 및 향신료
18,식초,조미료 및 향신료
19,올리고당,조미료 및 향신료
20,액젓,조미료 및 향신료
21,버터,유제품
22,밥,기타
23,파,채소
24,국간장,기타
25,홍고추,채소
26,우유,유제품
27,올리브유,조미료 및 향신료
28,감자,채소
29,파프리카,채소
30,무,채소
31,굴소스,조미료 및 향신료
32,두부,콩류 및 견과류
33,들기름,조미료 및 향신료
34,깨소금,조미료 및 향신료
35,된장,조미료 및 향신료
36,오이,채소
37,마요네즈,조미료 및 향신료
38,후춧가루,조미료 및 향신료
39,밀가루,곡물
40,생강,채소
41,쪽파,채소
42,김치,절임 및 장아찌
43,매실액,조미료 및 향신료
44,꿀,조미료 및 향신료
45,다시마,해산물 및 해조류
46,양배추,채소
47,표고버섯,채소
48,물엿,조미료 및 향신료
49,부추,채소
50,매실청,조미료 및 향신료
51,애호박,채소
52,청주,조미료 및 향신료
53,깻잎,채소
54,케찹,조미료 및 향신료
55,쌀,곡물
56,새우,해산물 및 해조류
57,전분가루,곡물
58,멸치,해산물 및 해조류
59,레몬즙,조미료 및 향신료
60,밀가루 박력분,곡물
61,어묵,해산물 및 해조류
62,콩나물,채소
63,식빵,기타
64,새우젓,절임 및 장아찌
65,소고기,육류
66,부침가루,기타
67,파슬리가루,조미료 및 향신료
68,돼지고기,육류
69,멸치육수,기타
70,풋고추,채소
71,새송이버섯,채소
72,기름,조미료 및 향신료
73,생크림,유제품
74,베이컨,육류
75,햄,육류
76,사과,과일
77,베이킹파우더,조미료 및 향신료
78,팽이버섯,채소
79,모짜렐라치즈,유제품
80,찹쌀,곡물
81,토마토,과일
82,묵은김치,절임 및 장아찌
83,머스타드,조미료 및 향신료
84,맛살,해산물 및 해조류
85,오징어,해산물 및 해조류
86,미림,조미료 및 향신료
87,피망,채소
88,고구마,채소
89,튀김가루,기타
90,느타리버섯,채소
91,생강가루,조미료 및 향신료
92,방울토마토,과일
93,맛간장,조미료 및 향신료
94,시금치,채소
95,가지,채소
96,들깨가루,조미료 및 향신료
97,소주,기타
98,슬라이스치즈,유제품
99,호박,채소
