id,RecipeIngredient,by_sort,by_situation
6992711,"[32, 61, 9, 58, 15, 3, 5, 12, 2]",밑반찬,일상
6962203,"[440, 477, 282, 138, 3]",차/음료/술,일상
6836645,"[181, 15, 16, 1, 7, 48, 3, 12]",밑반찬,일상
6999802,"[275, 9, 4, 46, 80, 6, 13, 72, 10, 1, 20, 17, 3, 50, 48, 38]",밥/죽/떡,일상
6914579,"[248, 89, 57, 72, 2, 396, 205, 199, 351, 112, 44, 2]",과자,일상
6996945,"[207, 26, 57, 135, 11, 5, 1, 17]",메인반찬,일상
7001297,"[233, 55, 6, 5, 33, 23, 1, 3, 10, 12]",밥/죽/떡,일상
6912524,"[149, 16, 5, 1, 7, 43]",메인반찬,손님접대
6942011,"[23, 10, 5, 18, 3, 19, 7, 12]",밑반찬,일상
6963820,"[9, 35, 10, 284, 48, 7, 12]",양념/소스/잼,일상
1816896,"[101, 27, 1, 188, 108, 2]",면/만두,손님접대
6909646,"[85, 4, 14, 9, 5, 1, 3, 48, 52, 11, 34, 7]",밥/죽/떡,일상
6996520,"[222, 55, 35, 1, 9, 45, 2]",국/탕,일상
6958573,"[85, 410, 126, 16, 10, 5, 43, 192, 1, 12, 18, 2, 48]",메인반찬,일상
6830251,"[32, 6, 23, 1, 93, 10]",밑반찬,일상
6920262,"[4, 5, 3, 18, 6, 70]",밑반찬,일상
7000393,"[193, 39, 10, 5, 3, 7, 104, 6, 18]",밑반찬,일상
6988712,"[62, 249, 1, 49, 64]",국/탕,일상
6936623,"[36, 22, 132, 2, 7, 227, 204]",밥/죽/떡,일상
7001644,"[176, 324, 83, 29, 243, 81, 79, 148]",양식,손님접대
6895488,"[390, 4, 14, 2, 20, 69, 10, 1, 40, 3, 12]",김치/젓갈/장류,일상
6712463,"[82, 22, 7, 2, 12]",밥/죽/떡,일상
6964092,"[8, 57, 26, 3]",기타,간식
6958447,"[315, 271, 41, 129, 30, 1, 40, 25, 13, 4, 39, 45, 64, 2, 2, 6]",김치/젓갈/장류,일상
6906132,"[141, 166, 27, 44, 2]",샐러드,일상
4856926,"[47, 65, 9, 8, 66, 5, 17, 7, 11]",밑반찬,
6838482,"[160, 59, 27, 41]",메인반찬,일상
6931492,"[275, 45, 58, 4, 13, 32, 9, 24, 1, 2]",국/탕,
6874743,"[62, 61, 6, 23, 4, 7, 23, 12, 16, 10, 3, 5, 1, 57, 6]",메인반찬,일상
6891705,"[144, 6, 138, 211, 6, 13]",면/만두,일상
6930630,"[32, 150, 4, 9, 13, 57, 16, 10, 35, 5, 3, 1, 17]",메인반찬,일상
6998075,"[88, 167, 166, 44, 258, 316]",기타,다이어트
7022481,"[126, 4, 18, 1, 10, 16, 43, 475, 7, 12]",밑반찬,일상
6926495,"[278, 8, 5, 86, 3, 7, 23, 18, 37, 157]",면/만두,일상
6859216,"[130, 600, 157, 180, 4, 2, 11]",빵,간식
6902845,"[109, 1, 15, 7, 11]",밑반찬,일상
6847155,"[63, 8, 21, 3, 67]",빵,일상
6867854,"[24, 20, 10, 34, 3, 1, 9]",양념/소스/잼,일상
6985481,"[200, 62, 9, 4, 13, 53, 5, 17, 3, 10, 16, 1, 12]",메인반찬,손님접대
6834304,"[88, 29, 63, 8, 110, 137, 4, 120, 3, 2, 11, 74, 26]",양식,일상
4356112,"[29, 1, 4, 118, 22, 2, 11]",밥/죽/떡,일상
6960029,"[308, 41, 12, 16, 184, 1, 34, 7]",밑반찬,일상
6884400,"[15, 10]",양념/소스/잼,기타
7016648,"[178, 89, 66, 33]",메인반찬,일상
6848402,"[115, 73, 21, 4, 26, 11, 2]",스프,간식
6934718,"[39, 6, 42, 4, 165, 13]",기타,일상
6912636,"[360, 277, 97, 9, 4, 105, 40, 1, 11, 35, 218, 35, 16, 1, 10]",국/탕,일상
6935191,"[92, 56, 8, 9, 15, 5, 31, 7, 3, 52]",퓨전,일상
6933669,"[30, 47, 106, 399, 16, 10, 5, 1, 23, 40, 17, 43, 3, 310]",밑반찬,일상
6953391,"[65, 8, 15, 25, 23, 2, 11, 39, 67]",밑반찬,명절
7000276,"[183, 2, 132, 5, 17, 31, 3, 6, 57]",밥/죽/떡,일상
