ingredient_id,recipe_id
2,6992711
3,6992711
5,6992711
9,6992711
12,6992711
15,6992711
32,6992711
58,6992711
61,6992711
3,6962203
138,6962203
282,6962203
440,6962203
477,6962203
1,6836645
3,6836645
7,6836645
12,6836645
15,6836645
16,6836645
48,6836645
181,6836645
1,6999802
3,6999802
4,6999802
6,6999802
9,6999802
10,6999802
13,6999802
17,6999802
20,6999802
38,6999802
46,6999802
48,6999802
50,6999802
72,6999802
80,6999802
275,6999802
2,6914579
2,6914579
44,6914579
57,6914579
72,6914579
89,6914579
112,6914579
199,6914579
205,6914579
248,6914579
351,6914579
396,6914579
1,6996945
5,6996945
11,6996945
17,6996945
26,6996945
57,6996945
135,6996945
207,6996945
1,7001297
3,7001297
5,7001297
6,7001297
10,7001297
12,7001297
23,7001297
33,7001297
55,7001297
233,7001297
1,6912524
5,6912524
7,6912524
16,6912524
43,6912524
149,6912524
3,6942011
5,6942011
7,6942011
10,6942011
12,6942011
18,6942011
19,6942011
23,6942011
7,6963820
9,6963820
10,6963820
12,6963820
35,6963820
48,6963820
284,6963820
1,1816896
2,1816896
27,1816896
101,1816896
108,1816896
188,1816896
1,6909646
3,6909646
4,6909646
5,6909646
7,6909646
9,6909646
11,6909646
14,6909646
34,6909646
48,6909646
52,6909646
85,6909646
1,6996520
2,6996520
9,6996520
35,6996520
45,6996520
55,6996520
222,6996520
1,6958573
2,6958573
5,6958573
10,6958573
12,6958573
16,6958573
18,6958573
43,6958573
48,6958573
85,6958573
126,6958573
192,6958573
410,6958573
1,6830251
6,6830251
10,6830251
23,6830251
32,6830251
93,6830251
3,6920262
4,6920262
5,6920262
6,6920262
18,6920262
70,6920262
3,7000393
5,7000393
6,7000393
7,7000393
10,7000393
18,7000393
39,7000393
104,7000393
193,7000393
1,6988712
49,6988712
62,6988712
64,6988712
249,6988712
2,6936623
7,6936623
22,6936623
36,6936623
132,6936623
204,6936623
227,6936623
29,7001644
79,7001644
81,7001644
83,7001644
148,7001644
176,7001644
243,7001644
324,7001644
1,6895488
2,6895488
3,6895488
4,6895488
10,6895488
12,6895488
14,6895488
20,6895488
40,6895488
69,6895488
390,6895488
2,6712463
7,6712463
12,6712463
22,6712463
82,6712463
3,6964092
8,6964092
26,6964092
57,6964092
1,6958447
2,6958447
2,6958447
4,6958447
6,6958447
13,6958447
25,6958447
30,6958447
39,6958447
40,6958447
41,6958447
45,6958447
64,6958447
129,6958447
271,6958447
315,6958447
2,6906132
27,6906132
44,6906132
141,6906132
166,6906132
5,4856926
7,4856926
8,4856926
9,4856926
11,4856926
17,4856926
47,4856926
65,4856926
66,4856926
27,6838482
41,6838482
59,6838482
160,6838482
1,6931492
2,6931492
4,6931492
9,6931492
13,6931492
24,6931492
32,6931492
45,6931492
58,6931492
275,6931492
1,6874743
3,6874743
4,6874743
5,6874743
6,6874743
6,6874743
7,6874743
10,6874743
12,6874743
16,6874743
23,6874743
23,6874743
57,6874743
61,6874743
62,6874743
6,6891705
6,6891705
13,6891705
138,6891705
144,6891705
211,6891705
1,6930630
3,6930630
4,6930630
5,6930630
9,6930630
10,6930630
13,6930630
16,6930630
17,6930630
32,6930630
35,6930630
57,6930630
150,6930630
44,6998075
88,6998075
166,6998075
167,6998075
258,6998075
316,6998075
1,7022481
4,7022481
7,7022481
10,7022481
12,7022481
16,7022481
18,7022481
43,7022481
126,7022481
475,7022481
3,6926495
5,6926495
7,6926495
8,6926495
18,6926495
23,6926495
37,6926495
86,6926495
157,6926495
278,6926495
2,6859216
4,6859216
11,6859216
130,6859216
157,6859216
180,6859216
600,6859216
1,6902845
7,6902845
11,6902845
15,6902845
109,6902845
3,6847155
8,6847155
21,6847155
63,6847155
67,6847155
1,6867854
3,6867854
9,6867854
10,6867854
20,6867854
24,6867854
34,6867854
1,6985481
3,6985481
4,6985481
5,6985481
9,6985481
10,6985481
12,6985481
13,6985481
16,6985481
17,6985481
53,6985481
62,6985481
200,6985481
2,6834304
3,6834304
4,6834304
8,6834304
11,6834304
26,6834304
29,6834304
63,6834304
74,6834304
88,6834304
110,6834304
120,6834304
137,6834304
1,4356112
2,4356112
4,4356112
11,4356112
22,4356112
29,4356112
118,4356112
1,6960029
7,6960029
12,6960029
16,6960029
34,6960029
41,6960029
184,6960029
308,6960029
10,6884400
15,6884400
33,7016648
66,7016648
89,7016648
178,7016648
2,6848402
4,6848402
11,6848402
21,6848402
26,6848402
73,6848402
115,6848402
4,6934718
6,6934718
13,6934718
39,6934718
42,6934718
165,6934718
1,6912636
1,6912636
4,6912636
9,6912636
10,6912636
11,6912636
16,6912636
35,6912636
35,6912636
40,6912636
97,6912636
105,6912636
218,6912636
277,6912636
360,6912636
3,6935191
5,6935191
7,6935191
8,6935191
9,6935191
15,6935191
31,6935191
52,6935191
56,6935191
92,6935191
1,6933669
3,6933669
5,6933669
10,6933669
16,6933669
17,6933669
23,6933669
30,6933669
40,6933669
43,6933669
47,6933669
106,6933669
310,6933669
399,6933669
2,6953391
8,6953391
11,6953391
15,6953391
23,6953391
25,6953391
39,6953391
65,6953391
67,6953391
2,7000276
3,7000276
5,7000276
6,7000276
17,7000276
31,7000276
57,7000276
132,7000276
183,7000276
1,6887271
3,6887271
4,6887271
5,6887271
6,6887271
7,6887271
11,6887271
12,6887271
14,6887271
15,6887271
94,6887271
113,6887271
525,6887271
1,6890250
2,6890250
4,6890250
5,6890250
7,6890250
8,6890250
9,6890250
11,6890250
11,6890250
12,6890250
13,6890250
31,6890250
52,6890250
56,6890250
102,6890250
1,7019414
5,7019414
12,7019414
15,7019414
19,7019414
58,7019414
1,6969066
4,6969066
5,6969066
9,6969066
13,6969066
14,6969066
28,6969066
113,6969066
123,6969066
414,6969066
1,4733098
3,4733098
7,4733098
16,4733098
18,4733098
76,4733098
104,4733098
162,4733098
376,4733098
1,6867509
5,6867509
6,6867509
7,6867509
9,6867509
17,6867509
25,6867509
43,6867509
68,6867509
95,6867509
172,6867509
4,6976638
7,6976638
8,6976638
22,6976638
34,6976638
111,6976638
117,6976638
135,6976638
1,6924215
3,6924215
6,6924215
11,6924215
27,6924215
40,6924215
42,6924215
392,6924215
2,6996820
8,6996820
11,6996820
46,6996820
63,6996820
72,6996820
84,6996820
98,6996820
209,6901645
1,6885704
3,6885704
5,6885704
16,6885704
19,6885704
100,6885704
1,6966422
4,6966422
23,6966422
25,6966422
57,6966422
70,6966422
78,6966422
100,6966422
1,6861963
5,6861963
6,6861963
19,6861963
21,6861963
29,6861963
29,6861963
86,6861963
123,6861963
153,6861963
2,6849976
3,6849976
37,6849976
79,6849976
120,6849976
2,6966606
4,6966606
11,6966606
26,6966606
88,6966606
147,6966606
7,6868304
10,6868304
12,6868304
93,6868304
187,6868304
2,6877522
4,6877522
5,6877522
7,6877522
11,6877522
22,6877522
41,6877522
111,6877522
115,6877522
1,7001484
3,7001484
4,7001484
8,7001484
22,7001484
23,7001484
54,7001484
75,7001484
130,7001484
265,7001484
1,7004564
2,7004564
3,7004564
5,7004564
9,7004564
10,7004564
15,7004564
16,7004564
35,7004564
36,7004564
157,7004564
5,6979485
7,6979485
8,6979485
22,6979485
27,6979485
3,3008255
8,3008255
21,3008255
60,3008255
77,3008255
158,3008255
171,3008255
260,3008255
8,6983604
11,6983604
15,6983604
89,6983604
116,6983604
135,6983604
326,6983604
1,2380475
1,2380475
2,2380475
4,2380475
5,2380475
6,2380475
7,2380475
11,2380475
12,2380475
18,2380475
35,2380475
40,2380475
50,2380475
148,2380475
326,2380475
2,6948265
8,6948265
21,6948265
60,6948265
125,6948265
159,6948265
171,6948265
11,6942867
13,6942867
36,6942867
44,6942867
59,6942867
117,6942867
134,6942867
212,6942867
439,6942867
1,6926472
2,6926472
2,6926472
4,6926472
9,6926472
10,6926472
20,6926472
30,6926472
40,6926472
50,6926472
76,6926472
1,6901261
4,6901261
5,6901261
7,6901261
9,6901261
16,6901261
19,6901261
86,6901261
202,6901261
5,6988481
7,6988481
8,6988481
12,6988481
22,6988481
74,6988481
563,6988481
1,7002146
2,7002146
3,7002146
12,7002146
18,7002146
36,7002146
1,6877359
3,6877359
3,6877359
5,6877359
6,6877359
6,6877359
7,6877359
10,6877359
16,6877359
17,6877359
18,6877359
23,6877359
46,6877359
200,6877359
3,6853470
5,6853470
12,6853470
33,6853470
117,6853470
135,6853470
512,6853470
1,7017603
4,7017603
6,7017603
9,7017603
10,7017603
11,7017603
16,7017603
20,7017603
24,7017603
35,7017603
62,7017603
82,7017603
98,7017603
111,7017603
301,7017603
1,7006925
5,7006925
7,7006925
8,7006925
14,7006925
36,7006925
43,7006925
65,7006925
95,7006925
192,7006925
296,7006925
1,7022104
2,7022104
3,7022104
5,7022104
10,7022104
12,7022104
18,7022104
36,7022104
86,7022104
187,7022104
3,6872688
21,6872688
63,6872688
67,6872688
3,6951547
7,6951547
9,6951547
12,6951547
16,6951547
18,6951547
36,6951547
42,6951547
43,6951547
135,6951547
144,6951547
145,6951547
1,7011682
3,7011682
4,7011682
5,7011682
5,7011682
9,7011682
11,7011682
12,7011682
27,7011682
33,7011682
43,7011682
44,7011682
80,7011682
150,7011682
202,7011682
1,7006869
4,7006869
5,7006869
6,7006869
9,7006869
10,7006869
13,7006869
20,7006869
33,7006869
48,7006869
461,7006869
1,7018848
2,7018848
5,7018848
7,7018848
9,7018848
10,7018848
12,7018848
13,7018848
43,7018848
183,7018848
10,6875552
24,6875552
111,6875552
127,6875552
214,6875552
301,6875552
1,6946359
2,6946359
3,6946359
7,6946359
10,6946359
16,6946359
18,6946359
36,6946359
43,6946359
308,6946359
1,6987991
7,6987991
9,6987991
10,6987991
12,6987991
13,6987991
203,6987991
8,6962951
42,6962951
70,6962951
110,6962951
5,7006481
7,7006481
12,7006481
14,7006481
17,7006481
19,7006481
31,7006481
70,7006481
75,7006481
113,7006481
1,6903477
6,6903477
7,6903477
8,6903477
23,6903477
24,6903477
42,6903477
55,6903477
132,6903477
293,6903477
18,7023011
63,7023011
134,7023011
164,7023011
170,7023011
2,6890743
4,6890743
11,6890743
17,6890743
27,6890743
28,6890743
29,6890743
37,6890743
56,6890743
74,6890743
122,6890743
147,6890743
1,6809126
7,6809126
23,6809126
24,6809126
34,6809126
461,6809126
3,2731851
4,2731851
6,2731851
14,2731851
18,2731851
36,2731851
71,2731851
120,2731851
1,6988039
2,6988039
2,6988039
4,6988039
6,6988039
6,6988039
10,6988039
13,6988039
20,6988039
22,6988039
25,6988039
25,6988039
40,6988039
41,6988039
43,6988039
64,6988039
217,6988039
315,6988039
462,6988039
2,6936928
8,6936928
21,6936928
22,6936928
38,6936928
84,6936928
5,6874315
7,6874315
8,6874315
9,6874315
15,6874315
22,6874315
54,6874315
212,6874315
2,6934005
3,6934005
6,6934005
8,6934005
15,6934005
23,6934005
81,6934005
616,6934005
1,6920090
3,6920090
4,6920090
5,6920090
9,6920090
10,6920090
12,6920090
16,6920090
17,6920090
19,6920090
25,6920090
198,6920090
8,6987732
11,6987732
14,6987732
41,6987732
56,6987732
66,6987732
84,6987732
135,6987732
361,6987732
1,6951163
3,6951163
4,6951163
5,6951163
9,6951163
12,6951163
31,6951163
135,6951163
152,6951163
198,6951163
549,6951163
26,6831231
167,6831231
1,6978074
3,6978074
4,6978074
5,6978074
9,6978074
10,6978074
12,6978074
15,6978074
16,6978074
38,6978074
48,6978074
275,6978074
1,6985208
4,6985208
5,6985208
9,6985208
12,6985208
17,6985208
19,6985208
21,6985208
29,6985208
191,6985208
1,426409
1,426409
3,426409
4,426409
5,426409
6,426409
7,426409
9,426409
10,426409
12,426409
13,426409
14,426409
16,426409
31,426409
32,426409
38,426409
47,426409
150,426409
151,426409
179,426409
3,6989046
5,6989046
6,6989046
18,6989046
29,6989046
29,6989046
36,6989046
75,6989046
84,6989046
148,6989046
168,6989046
258,6989046
12,6961655
46,6961655
62,6961655
126,6961655
204,6961655
1,7013502
2,7013502
4,7013502
7,7013502
9,7013502
11,7013502
12,7013502
14,7013502
15,7013502
28,7013502
74,7013502
1,7022383
2,7022383
9,7022383
24,7022383
30,7022383
32,7022383
33,7022383
154,7022383
88,6936057
1,6911656
3,6911656
4,6911656
7,6911656
10,6911656
12,6911656
18,6911656
20,6911656
20,6911656
36,6911656
49,6911656
2,6612997
10,6612997
79,6612997
147,6612997
176,6612997
1,6834635
3,6834635
4,6834635
6,6834635
9,6834635
10,6834635
13,6834635
24,6834635
35,6834635
64,6834635
82,6834635
153,6834635
198,6834635
1,6875786
5,6875786
9,6875786
11,6875786
31,6875786
40,6875786
42,6875786
49,6875786
96,6875786
113,6875786
290,6875786
582,6875786
2,6982492
27,6982492
205,6982492
10,6827827
20,6827827
41,6827827
50,6827827
1,6986999
2,6986999
7,6986999
9,6986999
12,6986999
16,6986999
410,6986999
1,6854249
2,6854249
4,6854249
7,6854249
11,6854249
14,6854249
15,6854249
34,6854249
51,6854249
64,6854249
7,6959579
24,6959579
109,6959579
191,6959579
1,6981963
4,6981963
10,6981963
12,6981963
18,6981963
20,6981963
43,6981963
192,6981963
376,6981963
2,6830191
5,6830191
6,6830191
6,6830191
8,6830191
17,6830191
30,6830191
45,6830191
48,6830191
131,6830191
1,6998103
2,6998103
5,6998103
19,6998103
27,6998103
38,6998103
51,6998103
56,6998103
87,6998103
95,6998103
101,6998103
182,6998103
352,6998103
10,1732147
30,1732147
32,1732147
35,1732147
99,1732147
136,1732147
1,6978655
12,6978655
13,6978655
15,6978655
28,6978655
75,6978655
135,6978655
1,6880996
5,6880996
9,6880996
10,6880996
13,6880996
16,6880996
25,6880996
30,6880996
32,6880996
35,6880996
40,6880996
64,6880996
185,6880996
384,6880996
1,6862974
5,6862974
9,6862974
13,6862974
25,6862974
30,6862974
32,6862974
69,6862974
160,6862974
6,6976366
49,6976366
56,6976366
66,6976366
85,6976366
3,6761257
5,6761257
8,6761257
9,6761257
15,6761257
22,6761257
42,6761257
74,6761257
145,6761257
1,6968140
2,6968140
3,6968140
3,6968140
4,6968140
5,6968140
6,6968140
10,6968140
14,6968140
16,6968140
18,6968140
18,6968140
19,6968140
30,6968140
36,6968140
85,6968140
126,6968140
4,6966778
9,6966778
14,6966778
17,6966778
32,6966778
64,6966778
68,6966778
97,6966778
102,6966778
2,6951907
6,6951907
8,6951907
49,6951907
1,6962729
7,6962729
9,6962729
10,6962729
12,6962729
19,6962729
48,6962729
180,6962729
242,6962729
1,4604179
7,4604179
10,4604179
12,4604179
14,4604179
24,4604179
43,4604179
268,4604179
1,7014747
9,7014747
33,7014747
35,7014747
55,7014747
178,7014747
2,6881545
6,6881545
8,6881545
300,6881545
1,6935711
2,6935711
4,6935711
6,6935711
10,6935711
20,6935711
22,6935711
40,6935711
49,6935711
50,6935711
64,6935711
154,6935711
178,6935711
1,6940387
3,6940387
5,6940387
10,6940387
13,6940387
17,6940387
44,6940387
150,6940387
195,6940387
1,6893135
4,6893135
5,6893135
7,6893135
10,6893135
14,6893135
19,6893135
20,6893135
34,6893135
49,6893135
1,6985593
2,6985593
17,6985593
21,6985593
191,6985593
1,6710799
2,6710799
4,6710799
4,6710799
6,6710799
7,6710799
8,6710799
14,6710799
15,6710799
29,6710799
31,6710799
32,6710799
38,6710799
38,6710799
54,6710799
107,6710799
115,6710799
116,6710799
137,6710799
269,6710799
350,6710799
2,6976519
7,6976519
8,6976519
11,6976519
12,6976519
22,6976519
34,6976519
41,6976519
81,6976519
82,6976519
329,6976519
1,6930021
2,6930021
3,6930021
9,6930021
10,6930021
18,6930021
34,6930021
369,6930021
1,7025748
4,7025748
6,7025748
13,7025748
16,7025748
35,7025748
35,7025748
51,7025748
65,7025748
71,7025748
4,6839769
22,6839769
24,6839769
28,6839769
33,6839769
46,6839769
84,6839769
87,6839769
96,6839769
2,6897350
3,6897350
7,6897350
32,6897350
42,6897350
200,6897350
1,6938410
2,6938410
5,6938410
7,6938410
12,6938410
102,6938410
126,6938410
2,6996846
9,6996846
11,6996846
24,6996846
30,6996846
61,6996846
106,6996846
1,6914565
3,6914565
4,6914565
5,6914565
7,6914565
9,6914565
10,6914565
15,6914565
17,6914565
20,6914565
85,6914565
149,6914565
1,6989070
3,6989070
5,6989070
7,6989070
16,6989070
41,6989070
369,6989070
1,6888912
6,6888912
9,6888912
13,6888912
20,6888912
24,6888912
30,6888912
33,6888912
85,6888912
99,6888912
2,5346538
5,5346538
9,5346538
11,5346538
13,5346538
30,5346538
45,5346538
58,5346538
81,5346538
95,5346538
144,5346538
182,5346538
183,5346538
223,5346538
238,5346538
3,6896394
4,6896394
5,6896394
6,6896394
18,6896394
29,6896394
29,6896394
29,6896394
32,6896394
57,6896394
2,6903936
4,6903936
9,6903936
75,6903936
84,6903936
1,6924887
16,6924887
32,6924887
35,6924887
70,6924887
93,6924887
152,6924887
154,6924887
1,6849801
2,6849801
7,6849801
10,6849801
11,6849801
41,6849801
62,6849801
2,6838450
3,6838450
8,6838450
21,6838450
60,6838450
77,6838450
1,6963242
3,6963242
5,6963242
6,6963242
6,6963242
10,6963242
11,6963242
15,6963242
16,6963242
48,6963242
54,6963242
89,6963242
100,6963242
4,6990679
6,6990679
12,6990679
14,6990679
22,6990679
27,6990679
28,6990679
100,6990679
103,6990679
107,6990679
1,6981109
3,6981109
7,6981109
9,6981109
10,6981109
11,6981109
12,6981109
13,6981109
31,6981109
42,6981109
149,6981109
8,6873023
37,6873023
44,6873023
46,6873023
83,6873023
92,6873023
139,6873023
298,6873023
696,6873023
95,6212995
1,6934446
2,6934446
3,6934446
4,6934446
5,6934446
7,6934446
11,6934446
12,6934446
14,6934446
15,6934446
17,6934446
94,6934446
113,6934446
208,6934446
511,6934446
2,1725622
6,1725622
8,1725622
11,1725622
52,1725622
103,1725622
1,1603366
3,1603366
4,1603366
5,1603366
7,1603366
13,1603366
17,1603366
65,1603366
68,1603366
79,1603366
1,6961176
9,6961176
13,6961176
25,6961176
32,6961176
47,6961176
51,6961176
78,6961176
203,6961176
1,6864367
4,6864367
23,6864367
29,6864367
31,6864367
114,6864367
266,6864367
3,6977082
13,6977082
1,4632199
2,4632199
6,4632199
9,4632199
10,4632199
11,4632199
13,4632199
17,4632199
24,4632199
30,4632199
65,4632199
72,4632199
82,4632199
91,4632199
165,4632199
183,4632199
1,6838580
3,6838580
4,6838580
5,6838580
6,6838580
9,6838580
10,6838580
19,6838580
32,6838580
33,6838580
64,6838580
2,6876283
3,6876283
5,6876283
17,6876283
41,6876283
43,6876283
72,6876283
90,6876283
4,7019029
5,7019029
6,7019029
8,7019029
10,7019029
11,7019029
12,7019029
15,7019029
19,7019029
31,7019029
51,7019029
1,6888102
2,6888102
6,6888102
7,6888102
11,6888102
24,6888102
109,6888102
319,6888102
1,6991511
5,6991511
6,6991511
9,6991511
10,6991511
13,6991511
16,6991511
25,6991511
28,6991511
35,6991511
51,6991511
82,6991511
90,6991511
118,6991511
1,6937279
5,6937279
8,6937279
10,6937279
11,6937279
13,6937279
14,6937279
17,6937279
23,6937279
24,6937279
42,6937279
51,6937279
58,6937279
69,6937279
144,6937279
1,6951112
7,6951112
9,6951112
24,6951112
35,6951112
65,6951112
69,6951112
325,6951112
382,6951112
6,6953233
219,6953233
2,6975405
3,6975405
10,6975405
12,6975405
16,6975405
23,6975405
410,6975405
2,7015534
3,7015534
3,7015534
8,7015534
15,7015534
21,7015534
26,7015534
63,7015534
2,6832829
3,6832829
4,6832829
6,6832829
12,6832829
14,6832829
18,6832829
36,6832829
109,6832829
14,6917579
29,6917579
46,6917579
47,6917579
53,6917579
78,6917579
84,6917579
178,6917579
220,6917579
258,6917579
1,6990533
5,6990533
7,6990533
23,6990533
204,6990533
208,6990533
296,6990533
3,7023242
5,7023242
9,7023242
10,7023242
13,7023242
31,7023242
