id,image,kind,name
1,,채소,마늘
2,,조미료 및 향신료,소금
3,,조미료 및 향신료,설탕
4,,채소,양파
5,,조미료 및 향신료,간장
6,,기타,물
7,,조미료 및 향신료,참기름
8,,육류,계란
9,,채소,대파
10,,조미료 및 향신료,고춧가루
11,,조미료 및 향신료,후추
12,,콩류 및 견과류,깨
13,,채소,청양고추
14,,채소,당근
15,,조미료 및 향신료,식용유
16,,조미료 및 향신료,고추장
17,,조미료 및 향신료,맛술
18,,조미료 및 향신료,식초
19,,조미료 및 향신료,올리고당
20,,조미료 및 향신료,액젓
21,,유제품,버터
22,,기타,밥
23,,채소,파
24,,기타,국간장
25,,채소,홍고추
26,,유제품,우유
27,,조미료 및 향신료,올리브유
28,,채소,감자
29,,채소,파프리카
30,,채소,무
31,,조미료 및 향신료,굴소스
32,,콩류 및 견과류,두부
33,,조미료 및 향신료,들기름
34,,조미료 및 향신료,깨소금
35,,조미료 및 향신료,된장
36,,채소,오이
37,,조미료 및 향신료,마요네즈
38,,조미료 및 향신료,후춧가루
39,,곡물,밀가루
40,,채소,생강
41,,채소,쪽파
42,,절임 및 장아찌,김치
43,,조미료 및 향신료,매실액
44,,조미료 및 향신료,꿀
45,,해산물 및 해조류,다시마
46,,채소,양배추
47,,채소,표고버섯
48,,조미료 및 향신료,물엿
49,,채소,부추
50,,조미료 및 향신료,매실청
51,,채소,애호박
52,,조미료 및 향신료,청주
53,,채소,깻잎
54,,조미료 및 향신료,케찹
55,,곡물,쌀
56,,해산물 및 해조류,새우
57,,곡물,전분가루
58,,해산물 및 해조류,멸치
59,,조미료 및 향신료,레몬즙
60,,곡물,밀가루 박력분
61,,해산물 및 해조류,어묵
62,,채소,콩나물
63,,기타,식빵
64,,절임 및 장아찌,새우젓
65,,육류,소고기
66,,기타,부침가루
67,,조미료 및 향신료,파슬리가루
68,,육류,돼지고기
69,,기타,멸치육수
70,,채소,풋고추
71,,채소,새송이버섯
72,,조미료 및 향신료,기름
73,,유제품,생크림
74,,육류,베이컨
75,,육류,햄
76,,과일,사과
77,,조미료 및 향신료,베이킹파우더
78,,채소,팽이버섯
79,,유제품,모짜렐라치즈
80,,곡물,찹쌀
81,,과일,토마토
82,,절임 및 장아찌,묵은김치
83,,조미료 및 향신료,머스타드
84,,해산물 및 해조류,맛살
85,,해산물 및 해조류,오징어
86,,조미료 및 향신료,미림
87,,채소,피망
88,,채소,고구마
89,,기타,튀김가루
90,,채소,느타리버섯
91,,조미료 및 향신료,생강가루
92,,과일,방울토마토
93,,조미료 및 향신료,맛간장
94,,채소,시금치
95,,채소,가지
96,,조미료 및 향신료,들깨가루
97,,기타,소주
98,,유제품,슬라이스치즈
99,,채소,호박
100,,육류,닭가슴살
101,,기타,스파게티면
102,,채소,숙주
103,,조미료 및 향신료,카레가루
104,,콩류 및 견과류,참깨
105,,조미료 및 향신료,월계수잎
106,,조미료 및 향신료,육수
107,,채소,브로콜리
108,,조미료 및 향신료,파마산치즈가루
109,,해산물 및 해조류,미역
110,,유제품,치즈
111,,육류,스팸
